from;to;amount;
0x7fa0943eb0bfba62a9f965fe11c92cbe37b141f9;0x7160a69819d6da2ca961b4c96602ce61d59c6da2;30;
0x28c6c06298d514db089934071355e5743bf21d60;0x6f4ac795c7a5b64bba250412190852f0f501294a;245.8;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x88fa0647d296154b97b2291dcec741dc9c1e582b;100.8;
0x5dbc554fd3ea0267b3dc219523d2e5ae73d46b3d;0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;200;
0x17f1a51da68d27c94d2a51d92b27b5bd4718b986;0xd2cde458549c6fe6352d3da5519e9956c56b3dcc;33.25;
0x0b383f04be84731fa71c060f80563bdf6dd41e98;0x8a8b9c6be26aaf5326326c250ae4941b5e78225a;222;
0x4852ea8eb903afc71f93899419a261809904b21e;0x11b815efb8f581194ae79006d24e0d814b7697f6;7;
0x11b815efb8f581194ae79006d24e0d814b7697f6;0xd1742b3c4fbb096990c8950fa635aec75b30781a;262.557846;
0xd1742b3c4fbb096990c8950fa635aec75b30781a;0xa88800cd213da5ae406ce248380802bd53b47647;252.405042;
0xa88800cd213da5ae406ce248380802bd53b47647;0x05e21cb0e493d35941d18ee599f0dca72939e92d;252.405042;
0x1f6ac3c3412964ac0454b176ef2b454800e8e927;0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7;128.756984;
0x3416cf6c708da44db2624d63ea0aaef7113527c6;0x9db9e0e53058c89e5b94e29621a205198648425b;1587.096801;
0x482f8794b1438565ed82fb38c48e1a36ba831c6a;0x50d5727b9565438810804e66e429300d9d752a35;0;
0x61130584714b1a2e1e3bca6e91a184cde9d92d26;0xd1a818fd14cd7e8c303aaf1507dce2428d795d69;0;
0xa382e7709e1eed228bea4c8f282756c10644f4fa;0x018f6cffb2eb98000cf764e0a38d05bbf0b78432;0;
0x415b7e3558ff31405919790b40372bb5e92bf558;0xd87cc21a3fafb57e6079db6e912b5238c5f5940b;0;
0xfe0aad6eb4ecd941d07d4b478addcaba5fbaea12;0x9c9c94d5d7591237bb475323ccf089beda98331f;0;
0x1db94cb4dc4d8419ffb4ac74da79b335d0d57f8a;0xf646d9b7d20babe204a89235774248ba18086dae;450;
0x4652d10b20747d7e9633b91c3ab248e026d5ce6c;0xfa7dddcf16870a2d9348e98fb201a08b188f78cb;120.79;
0x9a7e1f7cd4baa1b293577777aa73e21eade64acb;0xb14f907730c0306054249c568cef10234c6f5db2;3;
0x53aac0395c7c73b751552ff0358fab4504c57645;0xc378058382793a05ed141aea3f9bbf14d2f4d229;60.69;
0xd1a818fddafc842d3a85b160badfe36b6d795d69;0x276cdba3a39abf9cedba0f1948312c0681e6d5fd;953.757225;
0x0a5a1209e93e03a9c341287bf4179944f23c9e5d;0x04682ad3ae4799c3fd4b03b5b17d3011b048fc7f;3;
0xf82d01aa1dd488fcfe9598f54d545349f406671e;0x28c6c06298d514db089934071355e5743bf21d60;14517.13574;
0x4716ee902c4b93850ba93876644cc5c2a75a81ad;0x28c6c06298d514db089934071355e5743bf21d60;99995;
0x0072b39a690420c618009fb4cce7b46b2406b5ce;0x28c6c06298d514db089934071355e5743bf21d60;68162.61459;
0x5b5196430ef466b50a52f182260279c6cff79dd7;0x28c6c06298d514db089934071355e5743bf21d60;30;
0xd3c0b3f7254dfbe9c5e71227c253b6e8c151d1cb;0x28c6c06298d514db089934071355e5743bf21d60;1538;
0x8516f820c941fbb4a458c3c6f876c993346e85cb;0x28c6c06298d514db089934071355e5743bf21d60;2291.367084;
0xef889b26016e61890e37ad7671d2c8580bcf6232;0x28c6c06298d514db089934071355e5743bf21d60;335;
0x0742011925fd29acd92251b43a51cad860cf0071;0x28c6c06298d514db089934071355e5743bf21d60;2496;
0xa25c0e088db6a2ccce9a3908f579a356b90a1b3c;0x28c6c06298d514db089934071355e5743bf21d60;920.637836;
0x83513c845befd929c27543a5078c15aac102be4a;0x28c6c06298d514db089934071355e5743bf21d60;1831.334593;
0x95103c3485faa06f2f5b1d75d7b54a9f81c39820;0x28c6c06298d514db089934071355e5743bf21d60;1568.92;
0x9073c6913d47d51acfd9ffb9caf05811e4b440fa;0x28c6c06298d514db089934071355e5743bf21d60;250;
0xf4557a9a451bf7ec146d996dca13b161913998d5;0x28c6c06298d514db089934071355e5743bf21d60;812;
0xe85fa8abbeef6f40319a35d77cbef4ccefac8133;0x28c6c06298d514db089934071355e5743bf21d60;104;
0x83b720db305ebd483afd34cc1011b536239e9368;0x28c6c06298d514db089934071355e5743bf21d60;500;
0x1e37a1da449a27b36790c4ec9319098e80127746;0x28c6c06298d514db089934071355e5743bf21d60;9359.9014;
0xde74870f32586e876fa1bace333164055b8a5d46;0x28c6c06298d514db089934071355e5743bf21d60;3329;
0x119e17543276f644d3b879d749cff739beb6499d;0x28c6c06298d514db089934071355e5743bf21d60;1955.533586;
0xfbae9cd507c5379b7fd110eb2ee31c946a00041f;0x28c6c06298d514db089934071355e5743bf21d60;709;
0x0e67c2fac727edd90f30a2621e4a6c61c5a842a1;0x28c6c06298d514db089934071355e5743bf21d60;9;
0x0a24ade936e040ceaaf91bbca29d3903913aa8ac;0x28c6c06298d514db089934071355e5743bf21d60;5;
0x3e1f919e05628d25d3e5e969ad1dcd7bd164f375;0x28c6c06298d514db089934071355e5743bf21d60;15;
0x576343ac2e11559e2d61bfa2e66bb427413e986b;0x28c6c06298d514db089934071355e5743bf21d60;19473.777948;
0x8fd20d27cca919844e2af92478bf4aac3a01b987;0x28c6c06298d514db089934071355e5743bf21d60;756;
0x005a6dc44e10b021718128900272cb34f5e5a382;0x28c6c06298d514db089934071355e5743bf21d60;384;
0x02714b2d0ee19126904f973bcc1cde9a1585bbef;0x28c6c06298d514db089934071355e5743bf21d60;125;
0x5041b6c1489e5c092f13c2b0035ee98b244a4c77;0x28c6c06298d514db089934071355e5743bf21d60;250;
0x5d6b06484b7ec9b15df5a55907b5f8b1048c51cf;0x28c6c06298d514db089934071355e5743bf21d60;186.700253;
0x59cdc196cc3b3b9b922acce4f5866ab9d24790f9;0x28c6c06298d514db089934071355e5743bf21d60;1;
0xf03131b489bc0e73f866d7be9e74e6a36c9fa4e6;0x28c6c06298d514db089934071355e5743bf21d60;1002.450227;
0xe6521cbb57e7589b86c6cf75c31b4ee8dcd1f3c0;0x28c6c06298d514db089934071355e5743bf21d60;125;
0x5ee5ad384e5ad76a74c69d6cfbe46ba6e6eda381;0x28c6c06298d514db089934071355e5743bf21d60;74955;
0x1b5a3cda0affd16b3cd2f775911da5663fb37e18;0x28c6c06298d514db089934071355e5743bf21d60;325.486885;
0x8575501dc095e428bc8db7f626ec7510025b2a8e;0x28c6c06298d514db089934071355e5743bf21d60;202;
0xc3093d3bac75dd6da8ceea46b0372616fa7049fe;0x28c6c06298d514db089934071355e5743bf21d60;1269.5;
0xe3251ab16172c08d611b86b0dab0fa6463ee3b7a;0x28c6c06298d514db089934071355e5743bf21d60;1198.796549;
0x817f5c26ca7c6461e5f064e50d4a979c1934f9da;0x28c6c06298d514db089934071355e5743bf21d60;712.67;
0xdeeaa1b7f6a03e071edd58384866b4145b3cfeaf;0x28c6c06298d514db089934071355e5743bf21d60;5996.45;
0x02e629d11adada0391687bc41e9eb66d18aeab87;0x28c6c06298d514db089934071355e5743bf21d60;196.47;
0xa5ae7ff3f8dd03c599c09697a4bdb48b03698303;0x28c6c06298d514db089934071355e5743bf21d60;40440.814119;
0xcc770cab438b217c79f6ab8d93d8d6407488448e;0x28c6c06298d514db089934071355e5743bf21d60;8;
0x292d665d54d55f842bdddf8207a2d89b6e7201c1;0x28c6c06298d514db089934071355e5743bf21d60;200;
0x0ed9b3ae31569f1b58e21cf64da0970bc2ef9ce3;0x67a0d6078709323c6310dc08654d640aeb6e1152;16.80063;
0xced92fa7f0797cbc851b48140ae218a0b0d41ce0;0x6cf3464b2015ae84e742d0da5a5c92c4931b4708;10;
0xa8d217d48e2d6174ee989fc7b4931ddd1bee66ec;0xa749ba9ea58c85fd6f4402e760d65b59d627bc6f;500;
0x1f3ad00444f7a94f0134dd66db03fde8db79ab31;0x205e94337bc61657b4b698046c3c2c5c1d2fb8f1;95;
0x1f1b3581a737e4080b50654f66166540cc0bbdf9;0x11b815efb8f581194ae79006d24e0d814b7697f6;400;
0xdeea5eddf6f01151166269af23ce61b01b180950;0x736f04abae81588101f848ef4c5e13332fb20a80;9;
0x89eaee1bfe5e84caa8cfe82a13d01a92d1df60f2;0x28c6c06298d514db089934071355e5743bf21d60;2710.448289;
0xd20dde35bad6fa9222c112ff45a0ed58f53868df;0x9947bd882035c1fc4eb7bb5fbce2cd96b50bbb87;60.144949;
0xf29f568f971c043df7079a3121e9de616b8998a3;0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0;1;
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0;0xe506a80a2d730bb73ddd62bec85f3ae3acc1402f;460;
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0;0x807fdbcb54dc5d01b99a5aa7fce883a759d27cbe;540;
0x46340b20830761efd32832a74d7169b29feb9758;0xb8daa45d587d16010cdd9211d226411014ad1d78;15.012352;
0x098253ceb941f2964d06cc5579cbe76caba26f7a;0x292f04a44506c2fd49bac032e1ca148c35a478c8;106.684342;
0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a;0x9939e0b4dbc44aa3cf45f31584b6f94465116879;96.88;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0xfc76372ae2126ad8e8bd13789717dcb954086dd7;64.8;
0x3b9ba781797b57872687ce5d5219a1a4bc0e85ea;0xcf304f6298ada20129d7a4356919d555b70873de;242;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0xdf25dcef17c42b312e3e6a36377a9daab11e7eed;170;
0x28c6c06298d514db089934071355e5743bf21d60;0xfe0aad6eb4ecd941d07d4b478addcaba5fbaea12;2150.8;
0xfeeb318f62d84c4f3b8fca171f4b1bd45ec39a29;0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40;214.507371;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x12619f90d8a13716d881cbf33690939be4e086e8;802.8;
0x28c6c06298d514db089934071355e5743bf21d60;0xb19511550f241457357d8903e923f463c5335395;180.513513;
0x43f6bcecf70fe1b7442a9dfffa889b870810dc62;0x28c6c06298d514db089934071355e5743bf21d60;555.31;
0x0c2feecc0380c50f7062f098eefbd5c37468e371;0x74de5d4fcbf63e00296fd95d33236b9794016631;29.569805;
0x74de5d4fcbf63e00296fd95d33236b9794016631;0x56178a0d5f301baf6cf3e1cd53d9863437345bf9;29.569805;
0xf3550f8176e411fe159a303c74d2f0d951f6dea5;0x3fd660aecfe53d21d6053fa96cb8a0638a54a953;240.985385;
0x1f1b3581a737e4080b50654f66166540cc0bbdf9;0x11b815efb8f581194ae79006d24e0d814b7697f6;1;
0x596c125b8658e51f5b8909ae0f36092b80c7151b;0x9b763aa977271eeac596733fc41361041cae8d02;1;
0xca9c8d118c0b3b8b2a0470e8476a661d59b1dd19;0x3416cf6c708da44db2624d63ea0aaef7113527c6;10;
0xa3af8ee960c4fe2cb2b5714af63976698f2fb361;0x861e329e4c8c0306aac42e0da2b9c2d80b3a3993;10;
0x472c8e03d9972e1ae1774346b18f091462eb24f0;0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;25;
0x3bfffaaa10919f1e9b84a7c4f7b6085bffcf675a;0x909ce7880ab1b7c63214d15e4328f36935e7f085;857;
0x0b383f04be84731fa71c060f80563bdf6dd41e98;0x8a8b9c6b76749be592fbda77b332da46e978225a;0;
0xd20dde35bad6fa9222c112ff45a0ed58f53868df;0x994d91069c76b5176154f3585eb36dbb263fbb87;0;
0xe02d82b04120fc8b41d532e57ed6dcf3d95b0414;0xb892a2db42b4df389036d8074e28b897e383c604;0;
0xdeea5eddf6f01151166269af23ce61b01b180950;0x736f04ab7ac720d78077d01e9e1e6f9e4eb20a80;0;
0x61130584714b1a2e1e3bca6e91a184cde9d92d26;0x86cad62c7102e4242c8f6e1e206bb1a3d7743332;0;
0x9a7e1f7cd4baa1b293577777aa73e21eade64acb;0xb14c08906f734784111f8ba56f796c7c23d65db2;0;
0x974caa59e49682cda0ad2bbe82983419a2ecc400;0x01d77de8962f92805fd130d64af2a399b2ce6ad2;200;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0xaf502a1abbaa6773c0ae65876b323c20f024b635;765.453645;
0x28c6c06298d514db089934071355e5743bf21d60;0x51fc2cc5c872eff1c9144a270e00963cd3fd82d3;1071.8;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x9c82bcf5222815be17272706610ed2a501711b28;27021.85;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0x55fb16041e2f40127384a39f7bec7910473f7647;2404.994019;
0x28c6c06298d514db089934071355e5743bf21d60;0x987735fdd5c2ef77b44994bf0b072d7af514058e;91.6;
0xcd8d5b972c7fc4a11472cf223e996a115157bde5;0xd025b2b70cf7cb4aea609a7dd4a9de881c6d981f;200.615649;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0xb3c839dbde6b96d37c56ee4f9dad3390d49310aa;642795.8;
0xd5fbda4c79f38920159fe5f22df9655fde292d47;0xd26bd4f0115ceec5f3cb6662761495dc7c007f64;1552.696198;
0x58b704065b7aff3ed351052f8560019e05925023;0xc6dae486921dd8ecdeadf9a9372869bc826bba74;24.56;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xb7cca7b8ab02e2cad35d5e2888ec477e89afd35d;7.068977;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x4fc9640969ddaa08c026af8de37b5b872a6a90ab;78.827361;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x064343a0220ebbb07a8e0ad848ebb6bd6b50989e;576.000593;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xf7f77b6fa2e4ac2a0c36e2ab2263554d6c008a1e;997;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xf21ae6a8c41c55c786af109c96488ed22ab68a26;999.382687;
0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e;0xff29d3e552155180809ea3a877408a4620058086;1318.407624;
0x2819c144d5946404c0516b6f817a960db37d4929;0x50ee812c88abd5e2a9cc86933117edaf7d23640e;2;
0x000b29614ba0c4ab86313b57c9a48fcc0c9cffc3;0x6477f149b84d0ef40216b64d1fbb682833f481c8;0;
0xbf183a91461b960480b44829eff5ffcd9ebffabc;0x5f1c8f3d2fd42944cd07248d7313a201ed07d827;0;
0xe49fb05360281b7b16b3bc3d5ab7aa81faf047a3;0x298d26d5d8fedd47900345dedfe05b0b62c0d8b6;109.67;
0xfd4d830abd79148c56bbda553f086c398bb41bf2;0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b;5.523768;
0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b;0x3416cf6c708da44db2624d63ea0aaef7113527c6;5.523768;
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;0x715ce94996518f1083bc8171fe80c9fef2340122;682.750908;
0x7fa0943eb0bfba62a9f965fe11c92cbe37b141f9;0x189916bd3731e3e993c4b292cd43af7213560ef5;110.276422;
0xdfcabe8d2cdfbdd77b5db21cf4ff6c1a7c2d1a82;0x2d9a7dad81bd6fbb5c94c2c3e70eb9bd82cbaff0;148;
0x300560561aa1e9bec71ceb8a67a680b78dadf752;0xef8801eaf234ff82801821ffe2d78d60a0237f97;3499.457584;
0xec30d02f10353f8efc9601371f56e808751f396f;0x9e8da8b4092fd529032042ed9c9c098fb19276c6;73.250117;
0x974caa59e49682cda0ad2bbe82983419a2ecc400;0xcbc44cf38bf68fe8c64dd7e7de2d816a1dd07806;500;
0x1440ec793ae50fa046b95bfeca5af475b6003f9e;0xf72526c184ea6bc891c33ce477eece333f8b90e1;285.08;
0x48112f2b0746173ee0073fe9ba78be108b76cb5f;0xf89d7b9c864f589bbf53a82105107622b35eaa40;3;
0xef5fd5696960a3a75c6d06ae3f698890ae3f962f;0xf89d7b9c864f589bbf53a82105107622b35eaa40;500;
0xb44c43b096e265fbacfe42ee5214d2de0efccd84;0xf89d7b9c864f589bbf53a82105107622b35eaa40;330.918;
0x7f000407e18b14211f00feedfa4a997b0d8a3b5f;0xf89d7b9c864f589bbf53a82105107622b35eaa40;303.19817;
0xb3c839dbde6b96d37c56ee4f9dad3390d49310aa;0xfd6c2d2499b1331101726a8ac68ccc9da3fab54f;5018.74905;
0xfd6c2d2499b1331101726a8ac68ccc9da3fab54f;0xc35c83674429e2e8f499e940e3cee51aca0ce3ac;5016.74155;
0xfc2efe1890f215534acf6756e7b6a21c36f3fe02;0xce929b36b9edaeb3eb7efacb1b029f7367033b40;115;
0xe783013b985c5ee9fea274ac2063afe7b3af88d4;0xdf4dd711d5b4b5a9712caf49b9eefd8d33a2ee73;539.905627;
0xf7ffc9858bb6915386c3a32027bd9e08a23ac719;0xb35fada905b723407cbc2f99ba9f1e931a3fa5b8;25;
0xa5c64670922434a7fff9252fd7679e34c45df05d;0x4e68ccd3e89f51c3074ca5072bbac773960dfa36;20;
0xa1ab7a4aa264745912db261536291336f7e543ac;0x8b248a0cb2dd87713bee846f6cd23b09caab7578;50;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x1fab0e880b261a683443005d6a5510aed3c01ec9;50;
0x0db9b115c6d1ed72560fe3fe9c7e7a68539d9d94;0x51fa860992da31e42e95accd905de7680331631e;70.9676;
0x11b815efb8f581194ae79006d24e0d814b7697f6;0x1111111254eeb25477b68fb85ed929f73a960582;3225.778339;
0x1111111254eeb25477b68fb85ed929f73a960582;0x74de5d4fcbf63e00296fd95d33236b9794016631;3225.778339;
0x74de5d4fcbf63e00296fd95d33236b9794016631;0x2acf35c9a3f4c5c3f4c78ef5fb64c3ee82f07c45;28.22556;
0x74de5d4fcbf63e00296fd95d33236b9794016631;0x29cb2dd658018a632c1ee265f630e3c31fea8423;3197.552779;
0x1be0e579c4901256489dcd00969128eea80844c1;0x0e747eb2ff0f26fb77c3a1ea67ee07fac2dbb783;79.273972;
0x757d0bad20b664e9d35b94757dc1cdb4d5250709;0x46705dfff24256421a05d056c29e81bdc09723b8;23;
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40;0x8a2d90d5390dc44c9092a1bfa5f0ce5fe8330b14;1952.1783;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0x4b4004143112b8b6fed02e0287c55f8790265fc8;516.8;
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40;0xbe7396f2e8a77c460b354427665e2649d3a63bb4;1186.45;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0xddd2cf1b5f11ed7478d9c9ab7e13061b10947773;4495.8;
0x28c6c06298d514db089934071355e5743bf21d60;0x4d46b7a33479b8a771e8c51d7770c0849cd0c25c;533.8;
0x1e49768714e438e789047f48fd386686a5707db2;0xe69ca847ad19b9436957df279a69a61468e28d72;1757.877176;
0x8d9476f66c31b14c0e139ae62f5064b8d6a75ef7;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;4;
0x0638a4d64744e90dcc23bd02e3275d7f466fba34;0x18ba7bc782b7747f3d9aa3d0efb137e6651a6b39;245.75;
0xa382e7709e1eed228bea4c8f282756c10644f4fa;0x0189e44938f5255fe1ed748fbcb18b2e3d768432;207;
0x715ce94996518f1083bc8171fe80c9fef2340122;0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;682.750908;
0x11b815efb8f581194ae79006d24e0d814b7697f6;0x3620b14ad754e30dd9275286c3f7f946614dc337;571.699378;
0x37623c539fecd6eabc6860dd5837754eb839c8c9;0xa1485857db5f2fc2d0425ad3f1041b789e4bc05d;55.515145;
0x2759bc7b8f9f2b47eeeffb2f5751e0cff3ff1ad8;0xecd736280b65b9e48a300067d0161abdc1074fb5;582.1;
0x2ffe22895a16d86ebb8e9eb34616b7b768fa6a7f;0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7;47.405941;
0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689;0xb58d0fb5224046cf8baedb38978c5873bc3f289b;496.936118;
0x474ac5cb62d7acedc9990d4daafa0c39d9478fbb;0xd6b081624d01ee0b53372c9ac353945301b0a95f;175.24;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xd1ec7e6056c926c8399f346cabe9dd2184d22c02;9.99885;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xb6ff408de65fb986fe5e2db14efd8ac4afeef84a;77.777482;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x207b921b0b8c14f46d7c558d93bd3bc0d1540902;126.38;
0xa770070f4b18eb61a7cc282da3ea5d405b3abf4c;0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;200;
0x64c6391fa1eb6ce1a1804e4e494b9e985d03c768;0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852;50;
0x883bb89f8d9a4758e36839391f1f29fa581251bf;0xa4d20f438304ef5af91871f07875f3e5b8623625;55;
